2025-10-06 10:01:27.769 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.i.e.ExternalServiceAdapter - ++getData()
2025-10-06 10:01:27.770 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.i.e.ExternalServiceAdapter - Returned from cache for id titi
2025-10-06 10:01:27.770 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.i.e.ExternalServiceAdapter - --getData()
2025-10-06 10:01:27.770 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.i.MonAdaptateurImpl - externalDtoTiti:value for titi
2025-10-06 10:01:27.770 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.i.e.ExternalServiceAdapter - ++getData()
2025-10-06 10:01:27.771 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.i.e.ExternalServiceAdapter - Returned from cache for id toto
2025-10-06 10:01:27.771 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.i.e.ExternalServiceAdapter - --getData()
2025-10-06 10:01:27.771 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.i.MonAdaptateurImpl - externalDtoToto:value for toto
2025-10-06 10:01:27.771 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.i.MonAdaptateurImpl - --doSomething()
2025-10-06 10:01:27.771 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.domain.PigBizServiceImpl - --test()
2025-10-06 10:01:27.772 [http-nio-8080-exec-3] INFO  c.t.t.s.t.a.service.PigServiceImpl - --getPigs()
2025-10-06 10:01:27.775 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.exposition.PigController - --getPigs()
2025-10-06 10:01:35.628 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-10-06 10:01:35.634 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-10-06 10:01:58.812 [main] INFO  c.t.t.s.t.s.CucumberSpringConfiguration - Starting CucumberSpringConfiguration using Java 21.0.8 with PID 650 (started by root in /home/user1/app/springboot-tester/single-module)
2025-10-06 10:01:58.814 [main] INFO  c.t.t.s.t.s.CucumberSpringConfiguration - No active profile set, falling back to 1 default profile: "default"
2025-10-06 10:02:00.330 [main] INFO  c.t.t.s.t.s.i.e.CacheConfig - ++externalServiceCache()
2025-10-06 10:02:00.359 [main] INFO  c.t.t.s.t.s.i.e.CacheConfig - --externalServiceCache()
2025-10-06 10:02:00.370 [main] INFO  c.t.t.s.t.s.i.InfraConfiguration - ++myHelloWorldRealAdapter()
2025-10-06 10:02:00.370 [main] INFO  c.t.t.s.t.s.i.InfraConfiguration - --myHelloWorldRealAdapter()
2025-10-06 10:02:00.393 [main] INFO  c.t.t.s.t.s.i.InfraConfiguration - ++myService()
2025-10-06 10:02:00.393 [main] INFO  c.t.t.s.t.s.i.InfraConfiguration - --myService()
2025-10-06 10:02:00.737 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2025-10-06 10:02:01.493 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 14 endpoints beneath base path '/actuator'
2025-10-06 10:02:01.586 [main] INFO  c.t.t.s.t.s.CucumberSpringConfiguration - Started CucumberSpringConfiguration in 3.28 seconds (process running for 4.321)
2025-10-06 10:02:02.443 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - ++le_service_hello_est_pret()
2025-10-06 10:02:02.444 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - --le_service_hello_est_pret()
2025-10-06 10:02:02.447 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - ++j_execute_le_service_hello()
2025-10-06 10:02:02.448 [main] INFO  c.t.t.s.t.a.s.HelloWorldService - ++execute()
2025-10-06 10:02:02.448 [main] INFO  c.t.t.s.t.s.d.HelloWorldUseCaseImpl - ++sayHello()
2025-10-06 10:02:02.449 [main] INFO  c.t.t.s.t.s.d.HelloWorldUseCaseImpl - sayHello()
2025-10-06 10:02:02.449 [main] INFO  c.t.t.s.t.s.i.HelloWorldRealAdapter - ++sayHello()
2025-10-06 10:02:02.449 [main] INFO  c.t.t.s.t.s.i.HelloWorldRealAdapter - sayHello()
2025-10-06 10:02:02.449 [main] INFO  c.t.t.s.t.s.i.HelloWorldRealAdapter - --sayHello()
2025-10-06 10:02:02.449 [main] INFO  c.t.t.s.t.s.d.HelloWorldUseCaseImpl - --sayHello()
2025-10-06 10:02:02.449 [main] INFO  c.t.t.s.t.a.s.HelloWorldService - --execute()
2025-10-06 10:02:02.449 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - --j_execute_le_service_hello()
2025-10-06 10:02:02.450 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - ++le_resultat_est()
2025-10-06 10:02:02.454 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - --le_resultat_est()
2025-10-06 10:02:02.493 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.touin.thierry.sb.test.springboottester.CucumberSpringConfiguration]: CucumberSpringConfiguration does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-10-06 10:02:02.496 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.touin.thierry.sb.test.springboottester.SpringBootTesterApplication for test class com.touin.thierry.sb.test.springboottester.CucumberSpringConfiguration
2025-10-06 10:02:02.508 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - ++le_service_hello_est_pret()
2025-10-06 10:02:02.508 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - --le_service_hello_est_pret()
2025-10-06 10:02:02.509 [main] INFO  c.t.t.s.t.s.steps.HelloSteps - ++j_execute_le_service_hello()
2025-10-06 10:02:02.509 [main] INFO  c.t.t.s.t.a.s.HelloWorldService - ++execute()
2025-10-06 10:02:02.509 [main] INFO  c.t.t.s.t.s.d.HelloWorldUseCaseImpl - ++sayHello()
2025-10-06 10:02:02.509 [main] INFO  c.t.t.s.t.s.d.HelloWorldUseCaseImpl - sayHello()
2025-10-06 10:02:02.509 [main] INFO  c.t.t.s.t.s.i.HelloWorldRealAdapter - ++sayHello()
2025-10-06 10:02:02.509 [main] INFO  c.t.t.s.t.s.i.HelloWorldRealAdapter - sayHello()
